Date: 2016-10-18 15:09:43 | Authorize...
Date: 2016-10-18 16:11:53 | Authorize...
Date: 2016-10-18 16:11:54 | Access
Date: 2016-10-18 16:11:54 | Access - One if
Date: 2016-10-18 16:11:54 | Access - Two if
Date: 2016-10-18 16:11:55 | GAT
Date: 2016-10-18 16:11:55 | 1
Date: 2016-10-18 16:11:55 | 2
Date: 2016-10-18 16:11:55 | 3
Date: 2016-10-18 16:11:55 | 4
Date: 2016-10-18 16:11:55 | 5
Date: 2016-10-18 16:12:00 | Authorize...
Date: 2016-10-18 16:12:00 | Access
Date: 2016-10-18 16:12:00 | Access - One if
Date: 2016-10-18 16:12:00 | Access - Two if
Date: 2016-10-18 16:12:08 | GAT
Date: 2016-10-18 16:12:08 | 1
Date: 2016-10-18 16:12:08 | 2
Date: 2016-10-18 16:12:08 | 3
Date: 2016-10-18 16:12:08 | 4
Date: 2016-10-18 16:12:08 | 5
Date: 2016-10-18 16:14:18 | Authorize...
Date: 2016-10-18 16:14:19 | Access
Date: 2016-10-18 16:14:19 | Access - One if
Date: 2016-10-18 16:14:19 | Access - Two if
Date: 2016-10-18 16:14:19 | GAT
Date: 2016-10-18 16:14:19 | 1
Date: 2016-10-18 16:14:19 | 2
Date: 2016-10-18 16:14:31 | 3
Date: 2016-10-18 16:14:32 | 4
Date: 2016-10-18 16:14:32 | 5
Date: 2016-10-18 16:17:04 | Authorize...
Date: 2016-10-18 16:17:04 | Access
Date: 2016-10-18 16:17:04 | Access - One if
Date: 2016-10-18 16:17:04 | Access - Two if
Date: 2016-10-18 16:17:05 | GAT
Date: 2016-10-18 16:17:05 | 1
Date: 2016-10-18 16:17:05 | 2
Date: 2016-10-18 16:17:05 | 3
Date: 2016-10-18 16:17:05 | 4
Date: 2016-10-18 16:17:05 | 5
Date: 2016-10-18 16:17:50 | Authorize...
Date: 2016-10-18 16:17:50 | Access
Date: 2016-10-18 16:17:50 | Access - One if
Date: 2016-10-18 16:17:50 | Access - Two if
Date: 2016-10-18 16:17:50 | GAT
Date: 2016-10-18 16:17:50 | 1
Date: 2016-10-18 16:17:50 | 2
Date: 2016-10-18 16:17:51 | 3
Date: 2016-10-18 16:17:52 | 4
Date: 2016-10-18 16:17:52 | 5
Date: 2016-10-18 16:55:36 | No
Date: 2016-10-18 16:56:27 | Authorize...
Date: 2016-10-18 16:56:27 | Access
Date: 2016-10-18 16:56:27 | Access - One if
Date: 2016-10-18 16:56:27 | Access - Two if
Date: 2016-10-18 16:56:28 | GAT
Date: 2016-10-18 16:56:28 | 1
Date: 2016-10-18 16:56:28 | 2
Date: 2016-10-18 16:56:28 | 3
Date: 2016-10-18 16:56:28 | 4
Date: 2016-10-18 16:56:28 | 5
Date: 2016-10-18 16:56:59 | Authorize...
Date: 2016-10-18 16:56:59 | Access
Date: 2016-10-18 16:56:59 | Access - One if
Date: 2016-10-18 16:56:59 | Access - Two if
Date: 2016-10-18 16:56:59 | GAT
Date: 2016-10-18 16:56:59 | 1
Date: 2016-10-18 16:56:59 | 2
Date: 2016-10-18 16:57:04 | 3
Date: 2016-10-18 16:57:04 | 4
Date: 2016-10-18 16:57:04 | 5
Date: 2016-10-18 16:57:53 | Authorize...
Date: 2016-10-18 16:57:53 | Access
Date: 2016-10-18 16:57:53 | Access - One if
Date: 2016-10-18 16:58:13 | Authorize...
Date: 2016-10-18 16:58:36 | Authorize...
Date: 2016-10-18 16:58:55 | Authorize...
Date: 2016-10-18 16:58:55 | Authorize...
Date: 2016-10-18 16:59:03 | Authorize...
Date: 2016-10-18 16:59:14 | Authorize...
Date: 2016-10-18 16:59:33 | Authorize...
Date: 2016-10-18 16:59:34 | Access
Date: 2016-10-18 16:59:34 | Access - One if
Date: 2016-10-18 16:59:41 | Access
Date: 2016-10-18 16:59:41 | Access - One if
Date: 2016-10-18 16:59:49 | GAT
Date: 2016-10-18 16:59:49 | 1
Date: 2016-10-18 16:59:49 | 2
Date: 2016-10-18 16:59:49 | 3
Date: 2016-10-18 16:59:49 | 4
Date: 2016-10-18 16:59:49 | 5
